pb1_long,pb1_short,pnl
-200,110,220699
-200,130,231433
-200,150,241031
-200,170,239178
-200,190,241348
-180,110,232949
-180,130,244404
-180,150,257868
-180,170,255245
-180,190,256909
-160,110,237631
-160,130,249086
-160,150,262550
-160,170,259927
-160,190,261591
-140,110,236389
-140,130,247844
-140,150,261308
-140,170,258685
-140,190,260349
-120,110,224725
-120,130,237595
-120,150,252599
-120,170,246130
-120,190,251506
-100,110,228707
-100,130,241577
-100,150,256581
-100,170,250112
-100,190,255488
-80,110,224542
-80,130,237412
-80,150,252416
-80,170,245947
-80,190,251323
-60,110,253896
-60,130,268563
-60,150,248403
-60,170,241934
-60,190,247310
-40,110,251634
-40,130,266301
-40,150,249628
-40,170,243159
-40,190,248535
-20,110,263431
-20,130,273234
-20,150,255617
-20,170,248637
-20,190,256329
0,110,276489
0,130,287288
0,150,274911
0,170,268844
0,190,276022
