pb1_long,pb1_short,pb2_long,pb2_short,croissants_long,croissants_short,jams_long,jams_short,djembes_long,djembes_short,pnl
30,90,50,100,230,355,195,485,325,370,0
30,100,50,100,230,355,195,485,325,370,0
30,110,50,100,230,355,195,485,325,370,0
30,120,50,100,230,355,195,485,325,370,0
30,130,50,100,230,355,195,485,325,370,0
40,90,50,100,230,355,195,485,325,370,0
40,100,50,100,230,355,195,485,325,370,0
40,110,50,100,230,355,195,485,325,370,0
40,120,50,100,230,355,195,485,325,370,0
40,130,50,100,230,355,195,485,325,370,0
50,90,50,100,230,355,195,485,325,370,0
